246073_at	At5g20180
246074_at	At5g20130
246075_at	At5g20410
246076_at	At5g20280
246077_at	At5g20420
246078_s_at	At5g20440
246079_at	At5g20450
246080_at	At5g20460
246081_s_at	At5g20470
246082_at	At5g20480
246083_at	At5g20510
246084_at	At5g20530
246085_at	At5g20540
246086_at	At5g20560
246087_at	At5g20580
246088_at	At5g20600
246089_at	At5g20570
246090_at	At5g20520
246091_at	At5g20590
246092_at	At5g20500
246093_at	At5g20550
246094_at	At5g19300
246095_at	At5g19310
246096_at	At5g20330
246097_at	At5g20270
246098_at	At5g20400
246099_at	At5g20230
246100_at	At5g32570
246101_at	At5g32580
246102_at	At5g32590
246103_at	At5g28640
246104_at	At5g28650
246105_at	At5g28670
246106_at	At5g28680
246107_at	At5g28700
246108_at	At5g28630
246109_at	At5g20120
246110_at	At5g20140
246111_at	At5g20170
246112_at	At5g20200
246113_at	At5g20210
246114_at	At5g20250
246115_at	At5g20300
246116_at	At5g20310
246117_at	At5g20320
246118_at	At5g20340
246119_at	At5g20350
246120_at	At5g20360
246121_at	At5g20370
246122_at	At5g20380
246123_at	At5g20390
246124_at	At5g20060
246125_at	At5g19875
246126_at	At5g20070
246127_s_at	At5g32530
246128_at	At5g32540
246129_at	At5g32550
246130_at	At5g32560
246131_at	At5g20990
246132_at	At5g20850
246133_at	At5g20960
246134_at	At5g20930
246135_at	At5g20885
246136_at	At5g28470
246137_at	At5g28490
246138_at	At5g19870
246139_at	At5g19900
246140_at	At5g19910
246141_at	At5g19920
246142_at	At5g19970
246143_at	At5g19980
246144_at	At5g20110
246145_at	At5g19880
246146_at	At5g20050
246147_s_at	At5g20000
246148_at	At5g19960
246149_at	At5g19890
246150_at	At5g19930
246151_at	At5g19950
246152_at	At5g20040
246153_s_at	At5g20010
246154_at	At5g19940
246155_at	At5g20030
246156_at	At5g20090
246157_at	At5g20080
246158_at	At5g19855
246159_at	At5g20935
246160_at	At5g21040
246161_at	At5g20900
246162_at	At4g36400
246163_at	At5g32600
246164_at	At5g32610
246165_at	At5g32400
246166_at	At5g32410
246167_at	At5g32430
246168_at	At5g32460
246169_at	At5g32470
246170_at	At5g32450
246171_at	At5g32440
246172_s_at	At5g28360
246173_s_at	At5g28370
246174_s_at	At5g28380
246175_s_at	At5g28400
